v,"""/min",P.A.
21.2,8.74,5.5
21.1,8.03,154.4
20.5,3.83,187.8
20.1,1.47,113.7
21.3,8.76,319
21.3,2.53,72.7
21.7,0.54,290.1
22.6,0.46,53.4
21.7,0.13,213.5
22.2,0.7,216.1
21.6,5.62,38.3
19.4,24.94,211.4
22.2,1.41,165.3
22,1.88,300.6
22.3,1.55,357.2
22.4,0.96,298.8
21.2,2.08,122.3
21.7,1.65,42.6
21.3,0.55,352.6
22.1,2.11,216.9
21.3,0.32,102
20.1,1.86,101.2
22.5,1.76,170.5
22.8,1.72,304.8
21.9,0.44,227.4
19.9,1.5,131.1
19.6,2.76,350.4
24.3,1.68,289.9
27.2,0.69,237.2
26.6,0.53,85.6
20.5,0.75,98.8
21.8,8.35,26.5
20.4,7.34,241.9
19.6,1.11,356.8
22.2,0.8,79.2
21,8.34,350.3
20.4,3.34,18.6
22.3,0.47,76.1
22.1,4.59,150.8
20.4,3.36,24.3
22.2,0.84,225.7
21.8,1.52,88.2
21.9,3.27,230
22,2.6,102
21.5,10.86,177.3
20.8,5.06,137.8
19.6,12.78,176.4
21.1,10.35,82.2
20.7,0.79,325.2
20.8,3.18,109
39.8,0.24,38.9
21.5,1.51,189
21.2,2.65,75.2
21.7,0.6,287.3
22.7,0.49,54.8
22.3,0.66,212.5
22.1,1.8,299.8
22.3,1.52,359.6
21.2,2.12,122.4
21.7,1.59,40.6
21.3,0.57,344.5
22.4,1.97,216.6
21.2,0.3,104
20.1,1.87,101.1
22.9,1.64,305.1
21.9,0.44,231.9
19.7,2.64,352
24.5,1.46,280.6
27.4,0.72,235.7
26.7,0.55,82.9
19.5,0.9,65.4
20.5,0.71,98.3
22.4,5.28,29.1
21,4.05,243.3
23.1,0.34,83
21.2,8.23,349.4
19.7,6.37,20.4
22.4,0.45,77.2
22.5,0.63,226.5
21.9,1.38,88.9
22.4,2.42,229.1
22.4,1.86,102.9
21.7,10.43,177
20,10.22,175.8
21.4,7.18,86.1
20.7,0.75,329.4
39.1,0.11,58
22.1,0.85,191.3
22.4,0.62,208.7
22.2,1.72,299.2
22.4,1.51,2
21.1,2.16,122.5
21.7,1.53,38.5
21.3,0.59,337.3
22.6,1.82,216.2
21.2,0.28,105.7
23,1.57,305.6
22.1,0.44,236.2
19.7,2.53,353.6
24.6,1.28,272.6
27.5,0.76,234
26.9,0.57,80.7
21.6,0.91,65.2
20.5,0.7,98.1
22.7,4.34,30.2
21.3,3.11,244.4
23.4,0.25,86.1
21.3,8.08,348.9
19.4,9.51,21.5
22.4,0.44,77.5
22.6,0.55,226.9
22,1.32,89.2
22.6,2.12,228.7
22.6,1.62,103.3
21.7,10.04,176.8
20.2,9.1,175.4
21.5,6.1,87.6
20.7,0.73,331.6
38.7,0.1,70.6
22.4,0.61,206.8
22.3,1.67,298.9
22.4,1.5,3.1
21.1,2.18,122.6
21.7,1.5,37.4
21.3,0.6,334.2
22.6,1.76,216
21.2,0.28,106.4
23,1.53,305.9
22.1,0.44,238.3
19.8,2.48,354.3
24.6,1.2,269.1
27.6,0.77,233.1
26.9,0.58,79.8
19.8,1.97,112.4
21.6,0.93,65.1
20.5,0.68,97.8
22.9,3.58,31.4
21.7,2.43,245.5
23.7,0.19,90.3
21.4,7.88,348.2
18.9,15.89,23.4
22.4,0.43,77.6
22.6,0.48,227.3
22.1,1.27,89.4
22.8,1.84,228.3
22.8,1.41,103.6
21.9,9.57,176.6
20.4,8.06,175.1
21.6,5.2,89
20.8,0.71,334
38.4,0.11,82.1
22.5,0.59,204.7
22.4,1.63,298.7
22.4,1.49,4.2
21.1,2.21,122.6
21.7,1.47,36.2
21.3,0.62,331
22.7,1.69,215.7
21.1,0.27,107.1
23.1,1.49,306.3
22.1,0.44,240.4
19.8,2.43,355.1
24.7,1.13,265.7
27.7,0.8,232.1
27,0.59,78.9
21.5,2.77,120.8
19.8,5.17,21.9
20.3,0.34,213.4
19.9,1.9,111.8
21.4,0.95,64.7
17.9,72.34,51.6
22.3,1.16,89.9
23.1,1.4,227.3
23.1,1.11,104
20.8,0.68,339.1
37.8,0.13,96.2
22.5,0.56,200.2
22.5,1.53,298.2
22.5,1.47,6.5
21,2.25,122.7
21.7,1.41,33.7
21.3,0.65,325.1
22.9,1.55,215.3
21.1,0.26,108.4
23.2,1.4,307.2
22.1,0.44,244.7
19.9,2.32,356.8
24.8,0.98,260
27.8,0.84,229.9
27.2,0.61,77.4
21.1,2.48,160.6
19.8,1.58,355.6
20.8,6.23,18.7
21.1,2.19,357.1
21,2.31,342.9
21.9,1.26,44.3
18.1,2.83,164.7
20.7,0.9,16
16.5,54.19,113.9
18.2,10.25,151
21.4,1.2,307.8
21.7,0.81,237.7
21.1,0.88,236.9
22,3.3,26.6
20.2,1.24,312.3
20.5,0.37,330.4
21.3,1.37,348.9
21.4,3.57,128.8
19.8,18.68,14.7
21.4,1.67,332
20.1,2.04,229.3
20.1,5.64,80.7
19.3,28.73,153.9
19.7,15.86,230.4
20.5,2.72,42.7
21.7,1.77,94.2
21.1,0.76,293.2
20.2,1.25,323.5
21.7,0.97,224
21.2,1.82,300.5
21.3,4.88,303.3
21.3,1.02,129.7
26,9.71,163
22.7,0.94,90.9
23.9,0.71,223
23.9,0.72,104.1
36.7,0.25,105.1
